Unnamed: 0,data_ref,id_cliente,posse_de_veiculo,posse_de_imovel,qtd_filhos,idade,tempo_emprego,qt_pessoas_residencia,renda,sexo_F,sexo_M,tipo_renda_Assalariado,tipo_renda_Bolsista,tipo_renda_Empresário,tipo_renda_Pensionista,tipo_renda_Servidor público,educacao_Primário,educacao_Pós graduação,educacao_Secundário,educacao_Superior completo,educacao_Superior incompleto,estado_civil_Casado,estado_civil_Separado,estado_civil_Solteiro,estado_civil_União,estado_civil_Viúvo,tipo_residencia_Aluguel,tipo_residencia_Casa,tipo_residencia_Com os pais,tipo_residencia_Comunitário,tipo_residencia_Estúdio,tipo_residencia_Governamental
0,2015-01-01,15056,False,True,0,26,6.602739726027397,1.0,8060.34,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
1,2015-01-01,9968,True,True,0,28,7.183561643835616,2.0,1852.15,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
2,2015-01-01,4312,True,True,0,35,0.8383561643835616,2.0,2253.89,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
3,2015-01-01,10639,False,True,1,30,4.846575342465753,3.0,6600.77,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
4,2015-01-01,7064,True,False,0,33,4.293150684931507,1.0,6475.97,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
5,2015-01-01,10581,False,True,0,39,4.345205479452055,2.0,1445.87,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
6,2015-01-01,7129,False,True,0,55,6.3780821917808215,1.0,1726.03,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
7,2015-01-01,9952,False,True,0,36,3.104109589041096,2.0,2515.98,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
8,2015-01-01,883,False,True,0,50,18.6054794520548,2.0,3420.34,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
9,2015-01-01,8070,True,True,0,60,10.558904109589042,2.0,12939.14,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
10,2015-01-01,2221,False,False,0,39,2.0876712328767124,2.0,6402.41,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
13,2015-01-01,12517,True,False,0,41,15.04109589041096,2.0,581.18,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
14,2015-01-01,1268,True,True,0,58,4.586301369863014,2.0,25359.65,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
15,2015-01-01,7249,True,True,1,31,2.043835616438356,2.0,1171.49,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
16,2015-01-01,5551,False,False,0,53,8.545205479452052,2.0,3675.33,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
17,2015-01-01,6573,True,True,0,45,15.82739726027397,1.0,19763.27,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
18,2015-01-01,10667,True,True,1,44,6.934246575342466,2.0,13678.63,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
19,2015-01-01,11760,False,True,0,26,6.1589041095890416,2.0,5287.82,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
20,2015-01-01,12200,True,True,1,40,20.60821917808219,2.0,26174.03,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
24,2015-01-01,1853,True,True,1,24,6.594520547945206,3.0,8264.29,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
26,2015-01-01,16032,True,True,2,40,0.6273972602739726,4.0,4016.38,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
27,2015-01-01,10295,True,True,0,50,19.30958904109589,2.0,4655.96,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
28,2015-01-01,1912,False,True,1,42,0.8356164383561644,2.0,5611.78,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
29,2015-01-01,785,False,True,1,37,7.528767123287671,3.0,379.52,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
30,2015-01-01,2514,False,True,0,49,24.301369863013697,1.0,8715.76,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
31,2015-01-01,10508,False,True,0,28,3.512328767123288,1.0,1055.21,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
32,2015-01-01,6106,True,True,1,31,1.8301369863013703,3.0,1998.33,False,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
34,2015-01-01,6539,False,True,0,50,1.747945205479452,2.0,8051.62,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
35,2015-01-01,15235,False,True,0,54,7.958904109589041,1.0,6392.79,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
36,2015-01-01,5785,False,True,0,51,4.3780821917808215,1.0,2557.77,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
38,2015-01-01,2103,False,True,0,54,3.0904109589041098,2.0,2083.35,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
39,2015-01-01,4457,False,False,0,30,3.9287671232876713,2.0,856.31,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
40,2015-01-01,1667,True,True,1,45,7.315068493150685,3.0,2963.48,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
42,2015-01-01,1044,True,True,1,41,9.01917808219178,3.0,4082.3,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
43,2015-01-01,1851,False,True,2,40,6.594520547945206,3.0,3557.34,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
44,2015-01-01,13066,False,True,0,45,25.356164383561644,1.0,25664.46,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
45,2015-01-01,7153,False,True,0,47,3.2931506849315078,2.0,699.19,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
46,2015-01-01,14973,True,True,2,37,17.361643835616437,4.0,8861.49,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
47,2015-01-01,66,False,True,0,51,17.194520547945206,2.0,22184.17,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
48,2015-01-01,557,True,True,1,26,5.778082191780823,2.0,2990.66,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
49,2015-01-01,6386,True,False,2,39,13.0,4.0,10496.35,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
50,2015-01-01,8323,True,True,0,36,14.643835616438356,2.0,1334.97,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
51,2015-01-01,81,False,True,2,30,6.27123287671233,4.0,2749.88,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
52,2015-01-01,4985,False,False,0,41,6.049315068493152,1.0,7330.85,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
53,2015-01-01,12416,False,True,0,45,7.534246575342466,2.0,8542.51,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
56,2015-01-01,605,True,True,2,37,0.4383561643835616,4.0,2798.9,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
57,2015-01-01,4991,True,True,0,52,10.720547945205482,1.0,2959.0,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
58,2015-01-01,6932,False,False,0,50,0.3753424657534247,2.0,4339.98,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
59,2015-01-01,2731,False,True,0,34,11.065753424657538,2.0,4738.24,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
60,2015-01-01,4311,True,True,0,35,0.8383561643835616,2.0,1935.76,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
61,2015-01-01,650,False,True,0,58,3.024657534246576,2.0,3359.43,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
62,2015-01-01,6834,True,True,1,41,4.4602739726027405,3.0,3823.38,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
63,2015-01-01,11068,False,True,1,46,25.19178082191781,3.0,11721.03,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
64,2015-01-01,2937,False,True,0,53,12.473972602739725,2.0,6030.21,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
65,2015-01-01,962,True,False,1,31,2.0136986301369864,3.0,3740.97,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
66,2015-01-01,9300,True,False,0,46,8.01917808219178,2.0,2622.49,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
67,2015-01-01,5343,False,True,0,30,0.7589041095890411,2.0,1555.16,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
68,2015-01-01,2527,True,True,0,37,3.1178082191780816,2.0,2880.65,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
69,2015-01-01,557,True,True,1,26,5.778082191780823,2.0,2990.66,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
70,2015-01-01,15605,False,True,0,42,9.627397260273971,2.0,8651.81,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
72,2015-01-01,3433,True,True,0,47,23.2027397260274,1.0,3515.35,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
73,2015-01-01,13235,False,True,0,56,36.865753424657534,2.0,63286.11,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
74,2015-01-01,15690,False,False,1,38,2.180821917808219,3.0,4058.06,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
75,2015-01-01,2850,False,True,0,37,1.1369863013698631,2.0,1449.57,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
76,2015-01-01,16073,True,False,1,26,1.3753424657534246,3.0,2122.16,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
77,2015-01-01,13808,True,False,0,45,4.287671232876712,2.0,12707.07,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
78,2015-01-01,6028,True,True,0,36,2.2164383561643834,2.0,1210.97,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
79,2015-01-01,15266,True,False,0,29,4.035616438356166,2.0,17333.66,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False
80,2015-01-01,10291,True,True,0,50,19.30958904109589,2.0,5907.97,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
81,2015-01-01,3532,False,True,2,42,1.6821917808219178,4.0,905.85,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
82,2015-01-01,10326,False,False,0,54,4.216438356164384,2.0,1223.06,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
84,2015-01-01,8874,False,True,0,56,25.394520547945213,1.0,57222.81,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False
85,2015-01-01,5250,False,False,0,43,0.4301369863013699,2.0,2652.35,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
86,2015-01-01,4995,True,True,1,32,10.63835616438356,3.0,11625.78,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
87,2015-01-01,13466,True,False,0,27,7.019178082191781,2.0,22464.67,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
88,2015-01-01,10931,False,False,1,34,3.602739726027397,3.0,2474.98,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
89,2015-01-01,10212,False,True,1,46,7.805479452054794,3.0,6260.74,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
90,2015-01-01,1407,False,True,0,26,3.6821917808219182,2.0,1969.62,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
91,2015-01-01,2286,True,True,0,53,14.6,1.0,9380.83,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False
92,2015-01-01,12159,True,True,1,37,0.2657534246575343,3.0,2744.44,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
93,2015-01-01,4778,True,True,1,37,4.608219178082192,3.0,941.31,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
95,2015-01-01,15687,False,True,0,53,6.016438356164382,2.0,2165.5,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
96,2015-01-01,13500,True,False,2,31,13.852054794520548,4.0,9202.55,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
97,2015-01-01,4544,False,True,0,41,4.178082191780821,2.0,1932.18,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
98,2015-01-01,238,True,False,0,32,3.1890410958904107,2.0,11587.7,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
99,2015-01-01,13001,True,False,1,59,11.6,2.0,4063.18,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
100,2015-01-01,9316,False,False,1,38,2.0136986301369864,3.0,1831.13,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
101,2015-01-01,2453,False,True,1,37,14.95890410958904,3.0,11394.5,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
102,2015-01-01,16231,False,True,0,46,2.5424657534246577,2.0,4670.46,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
103,2015-01-01,8470,False,False,0,42,1.1315068493150684,2.0,3756.67,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False
104,2015-01-01,12563,True,False,0,46,1.8657534246575345,2.0,4464.82,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
106,2015-01-01,14790,True,False,2,40,19.06027397260274,4.0,31763.82,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
108,2015-01-01,14895,False,False,0,40,5.717808219178082,2.0,11838.5,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
109,2015-01-01,4756,True,True,2,31,0.3534246575342465,4.0,1947.06,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False
110,2015-01-01,4951,False,False,1,45,2.7150684931506848,2.0,1150.79,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
111,2015-01-01,15650,False,False,0,41,0.5452054794520548,2.0,1799.7,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
112,2015-01-01,8584,False,True,2,37,15.646575342465756,4.0,3278.0,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
113,2015-01-01,3417,True,True,0,34,2.2575342465753425,2.0,1935.05,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
114,2015-01-01,4543,False,True,0,41,4.178082191780821,2.0,1360.56,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
116,2015-01-01,9345,True,False,0,55,6.934246575342466,2.0,967.76,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False
117,2015-01-01,12740,False,False,0,62,0.2794520547945205,2.0,714.38,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
118,2015-01-01,6490,False,True,0,50,14.756164383561645,1.0,7620.51,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False
119,2015-01-01,281,True,False,0,52,0.2712328767123288,2.0,6772.53,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
