Unnamed: 0,data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda
0,2015-01-01,15056,F,False,True,0,Empresário,Secundário,Solteiro,Casa,26,6.602739726027397,1.0,4629.50355998831
1,2015-01-01,9968,M,True,True,0,Assalariado,Superior completo,Casado,Casa,28,7.183561643835616,2.0,-7216.5853251379085
2,2015-01-01,4312,F,True,True,0,Empresário,Superior completo,Casado,Casa,35,0.8383561643835616,2.0,1672.939104581308
3,2015-01-01,10639,F,False,True,1,Servidor público,Superior completo,Casado,Casa,30,4.846575342465753,3.0,4592.539650515084
4,2015-01-01,7064,M,True,False,0,Assalariado,Secundário,Solteiro,Governamental,33,4.293150684931507,1.0,-796.2917585712094
5,2015-01-01,10581,F,False,True,0,Assalariado,Superior completo,Casado,Casa,39,4.345205479452055,2.0,-383.2766870317166
6,2015-01-01,7129,F,False,True,0,Empresário,Superior completo,Viúvo,Casa,55,6.3780821917808215,1.0,-2704.803407111489
7,2015-01-01,9952,F,False,True,0,Empresário,Secundário,Casado,Casa,36,3.104109589041096,2.0,638.8768321845416
8,2015-01-01,883,F,False,True,0,Assalariado,Secundário,Casado,Casa,50,18.6054794520548,2.0,-6749.086026428529
9,2015-01-01,8070,M,True,True,0,Assalariado,Superior completo,Casado,Casa,60,10.558904109589042,2.0,756.2573478384893
10,2015-01-01,2221,M,False,False,0,Empresário,Secundário,Casado,Casa,39,2.0876712328767124,2.0,-731.6629802211692
13,2015-01-01,12517,F,True,False,0,Assalariado,Superior completo,Casado,Casa,41,15.04109589041096,2.0,-6874.810118238516
14,2015-01-01,1268,M,True,True,0,Empresário,Superior completo,Casado,Casa,58,4.586301369863014,2.0,15715.759444579699
15,2015-01-01,7249,M,True,True,1,Assalariado,Secundário,Solteiro,Casa,31,2.043835616438356,2.0,-5161.32062192535
16,2015-01-01,5551,F,False,False,0,Empresário,Secundário,União,Casa,53,8.545205479452052,2.0,-1494.2156914621273
17,2015-01-01,6573,F,True,True,0,Servidor público,Secundário,Solteiro,Casa,45,15.82739726027397,1.0,11079.551898468297
18,2015-01-01,10667,M,True,True,1,Assalariado,Superior completo,Separado,Casa,44,6.934246575342466,2.0,4127.743603713114
19,2015-01-01,11760,M,False,True,0,Servidor público,Superior completo,Casado,Casa,26,6.1589041095890416,2.0,-3384.608358110376
20,2015-01-01,12200,M,True,True,1,Assalariado,Secundário,Solteiro,Casa,40,20.60821917808219,2.0,9189.955530614083
24,2015-01-01,1853,M,True,True,1,Empresário,Secundário,Casado,Casa,24,6.594520547945206,3.0,-1175.475220747523
26,2015-01-01,16032,M,True,True,2,Empresário,Superior completo,Casado,Casa,40,0.6273972602739726,4.0,-2732.462104822651
27,2015-01-01,10295,F,True,True,0,Empresário,Secundário,Casado,Casa,50,19.30958904109589,2.0,-6757.251444523413
28,2015-01-01,1912,F,False,True,1,Assalariado,Secundário,Viúvo,Casa,42,0.8356164383561644,2.0,5613.920190925001
29,2015-01-01,785,F,False,True,1,Empresário,Secundário,Casado,Casa,37,7.528767123287671,3.0,-3991.810408786347
30,2015-01-01,2514,F,False,True,0,Assalariado,Secundário,Separado,Casa,49,24.301369863013697,1.0,-4575.795300575412
